# columns are meto-cce, meto-intel, meto-gnu, tx2-cce, tx2-gnu, tx2-arm
# 1 thread	2 thread	4 thread	8 thread	16 thread	32 thread	Whole Node
10.51689639	5.268920654	1.889244735	1.477278762	0.851648208	0.521406252	0.46931915
9.475224972	4.767045975	2.542771101	1.375940084	0.782171965	0.565428972	0.517336845
10.83186615	5.492790766	2.785751031	1.728133477	1.140486623	0.828059902	0.812346069
22.8352	11.2727	5.6298	2.812	1.4138	0.7215	0.398
23.4643	11.6859	5.8311	2.9206	1.5414	0.8186	0.5443
24.1334	11.9835	5.9629	2.9899	1.5352	0.7869	0.5582
